iter	MultiClass
250	0.4297229364
251	0.4290336223
252	0.4278798484
253	0.4267189482
254	0.4250086362
255	0.4236719959
256	0.4221688091
257	0.4208781032
258	0.4199887228
259	0.4190925096
260	0.4174804764
261	0.4163197436
262	0.4153252083
263	0.414150772
264	0.4133401651
265	0.4117672373
266	0.4113884743
267	0.4101228755
268	0.4088720255
269	0.4070107765
270	0.4058180713
271	0.4046995081
272	0.4036928914
273	0.4028284526
274	0.4012321046
275	0.4003589509
276	0.399099369
277	0.3982620726
278	0.3976958849
279	0.3970546781
280	0.3960355611
281	0.394567566
282	0.393831013
283	0.3926896586
284	0.3913583734
285	0.3906154018
286	0.3890784779
287	0.3884172553
288	0.3879835798
289	0.3873206607
290	0.386235153
291	0.3851421665
292	0.3838727534
293	0.3829830371
294	0.3817378797
295	0.3807379976
296	0.3792604588
297	0.3781568721
298	0.3769565252
299	0.3761955441
300	0.3755347454
301	0.3745921826
302	0.3739588977
303	0.3734811741
304	0.3725022408
305	0.371242931
306	0.3698569086
307	0.3688344073
308	0.3681874481
309	0.3676390456
310	0.3668417276
311	0.3662562911
312	0.3650911029
313	0.3643971025
314	0.36330573
315	0.3620719664
316	0.3617245066
317	0.3610525919
318	0.3598861793
319	0.359380653
320	0.3582398948
321	0.3572049793
322	0.3563173553
323	0.355122737
324	0.3538478754
325	0.3529877909
326	0.3518703552
327	0.3512515635
328	0.3502846728
329	0.3490998321
330	0.3475700651
331	0.3468553482
332	0.3463795223
333	0.3457765564
334	0.3451666051
335	0.3445036544
336	0.3440338911
337	0.343042717
338	0.3421312101
339	0.3413803994
340	0.34021828
341	0.3397400956
342	0.3387383367
343	0.3379764088
344	0.3371133548
345	0.336918703
346	0.3358461467
347	0.3347835534
348	0.3338473822
349	0.3325447674
350	0.3317857399
351	0.3311488461
352	0.3306668301
353	0.3299910118
354	0.3291989755
355	0.3286017858
356	0.3269680267
357	0.3261442846
358	0.3255669893
359	0.3245855083
360	0.3237570634
361	0.3226660167
362	0.3217447101
363	0.3212543806
364	0.3203997071
365	0.3194106369
366	0.3183704306
367	0.3178808276
368	0.3173194394
369	0.3168200855
370	0.3166404145
371	0.3158075331
372	0.3150092708
373	0.3143532763
374	0.3134506923
375	0.3130539322
376	0.3123668941
377	0.3115680708
378	0.3110391752
379	0.3103313578
380	0.3094614321
381	0.30894211
382	0.3082708035
383	0.3075859231
384	0.3072106331
385	0.3065053664
386	0.3056970423
387	0.3051221163
388	0.3043914041
389	0.3030963324
390	0.3025323407
391	0.3015038076
392	0.3007018027
393	0.2998032884
394	0.2992675996
395	0.2981989132
396	0.296992284
397	0.296064751
398	0.2952866056
399	0.2947489214
400	0.2942221244
401	0.2935590459
402	0.2925703262
403	0.2915078232
404	0.2909020743
405	0.2903493693
406	0.2899079395
407	0.2889593413
408	0.2881575284
409	0.2875309935
410	0.2871228218
411	0.2867937443
412	0.2863423183
413	0.2855802127
414	0.2849816964
415	0.2845446222
416	0.28363825
417	0.28294648
418	0.2823655286
419	0.2819265101
420	0.2811159886
421	0.2805434913
422	0.280232839
423	0.2797948158
424	0.2788248802
425	0.278575649
426	0.2780416641
427	0.2775136925
428	0.2769756744
429	0.2762041287
430	0.2755001753
431	0.27466312
432	0.2742301578
433	0.2738272716
434	0.2733675902
435	0.2731660871
436	0.2723893831
437	0.2717737254
438	0.2711144841
439	0.2707711004
440	0.2705736884
441	0.2699600465
442	0.2695031288
443	0.268959742
444	0.268370949
445	0.2679079633
446	0.2673905682
447	0.2668012134
448	0.2660560265
449	0.2655067155
450	0.2648805133
451	0.2645427662
452	0.2638760987
453	0.2634100246
454	0.2628556554
455	0.2622936591
456	0.2616694881
457	0.2609733251
458	0.2606798541
459	0.2603413635
460	0.2598162214
461	0.2592629543
462	0.2584422879
463	0.2579545707
464	0.257504261
465	0.2567872286
466	0.2564944094
467	0.2560364
468	0.2557885273
469	0.255397457
470	0.2550329458
471	0.2542311131
472	0.2538862184
473	0.2535456427
474	0.253256621
475	0.2525612916
476	0.252172403
477	0.2516957878
478	0.2511473155
479	0.2506301697
480	0.2501878907
481	0.2498044562
482	0.2494369367
483	0.2488084623
484	0.248407794
485	0.2475608111
486	0.2471603374
487	0.2468469838
488	0.2463064259
489	0.2457754112
490	0.2453690129
491	0.2449976017
492	0.2443822348
493	0.243950366
494	0.2435750106
495	0.2430603605
496	0.2428292718
497	0.2425210307
498	0.2416963724
499	0.240904036
500	0.2403382046
501	0.2396193078
502	0.2391315126
503	0.2384062419
504	0.2380854139
505	0.2374545389
506	0.2368663261
507	0.2361970149
508	0.2358834974
509	0.2353106197
510	0.2347601687
511	0.2339986093
512	0.233595913
513	0.2330100639
514	0.2323687116
515	0.2319044282
516	0.2315101785
517	0.2310488347
518	0.2305880291
519	0.2301315457
520	0.2298262111
521	0.2293287123
522	0.228688263
523	0.2282142787
524	0.227847773
525	0.2272021913
526	0.2266496971
527	0.2262113772
528	0.225719562
529	0.2253087964
530	0.2245931341
531	0.2240653356
532	0.2236516237
533	0.2233091645
534	0.2227904585
535	0.2223275876
536	0.2219004756
537	0.2215418937
538	0.2210278515
539	0.2207114078
540	0.2201862223
541	0.2197026388
542	0.2192397275
543	0.2189338105
544	0.2185148492
545	0.2180438476
546	0.2175614707
547	0.2170286295
548	0.2166160749
549	0.2162339691
550	0.2157757376
551	0.2152650605
552	0.2149385994
553	0.21444914
554	0.2139126246
555	0.2136131839
556	0.2131621526
557	0.2126152482
558	0.2121151705
559	0.2114795313
560	0.2110636981
561	0.2108430284
562	0.2103619553
563	0.2099817402
564	0.2096481247
565	0.2092926674
566	0.2089595514
567	0.2084917628
568	0.2078648279
569	0.2075404512
570	0.2071756218
571	0.2067828677
572	0.2063244082
573	0.2058855138
574	0.205327878
575	0.2049591146
576	0.2044656735
577	0.2040898255
578	0.2038504041
579	0.2031389227
580	0.2029779402
581	0.2027802179
582	0.2020807145
583	0.2018031782
584	0.2014370933
585	0.2009762641
586	0.200683217
587	0.2003383885
588	0.1999379376
589	0.1995468683
590	0.1993721777
591	0.1990082242
592	0.1987360408
593	0.1982375273
594	0.1978075016
595	0.1975525177
596	0.1969463041
597	0.196497682
598	0.1960519155
599	0.1956402549
600	0.1951851298
601	0.1949466843
602	0.1946271451
603	0.1941622002
604	0.1937638935
605	0.1934223237
606	0.1931440719
607	0.1927729398
608	0.1924753785
609	0.1920455123
610	0.1915994642
611	0.1912434349
612	0.1907698365
613	0.1904260913
614	0.1900454107
615	0.189577522
616	0.1892112623
617	0.1889992664
618	0.1889304482
619	0.1887471854
620	0.1883864328
621	0.1882286268
622	0.188099465
623	0.187610899
624	0.1875157334
625	0.1871600048
626	0.1866494206
627	0.18654917
628	0.18623763
629	0.1858800169
630	0.1854388011
631	0.1851257113
632	0.1847716925
633	0.1842977698
634	0.1840623353
635	0.1836567664
636	0.1833478338
637	0.1831303264
638	0.1828251453
639	0.1822538387
640	0.1818830689
641	0.1816314526
642	0.1813078031
643	0.1810094735
644	0.1804873725
645	0.1803427893
646	0.1800684583
647	0.1797311104
648	0.1792249431
649	0.1788584014
650	0.1784820215
651	0.178089424
652	0.1777061262
653	0.1772249158
654	0.1768920415
655	0.1765310334
656	0.1761666001
657	0.1758139716
658	0.1754679021
659	0.175285639
660	0.1750728021
661	0.1748829837
662	0.1745018804
663	0.1743999465
664	0.1741437848
665	0.1738555006
666	0.1737300867
667	0.1734531568
668	0.1731781252
669	0.1730016468
670	0.1726520616
671	0.1723751218
672	0.1721739398
673	0.1719498905
674	0.1716488138
675	0.1714439851
676	0.1712460884
677	0.1709647798
678	0.1707153242
679	0.1704845763
680	0.1703393379
681	0.1700643418
682	0.1697456746
683	0.169445373
684	0.1691636563
685	0.1688321758
686	0.1685083156
687	0.168250317
688	0.1677742324
689	0.1674369542
690	0.1671050701
691	0.1667932829
692	0.1664869908
693	0.1663940309
694	0.166111507
695	0.1658898665
696	0.1657265917
697	0.1654662006
698	0.1652925683
699	0.1649155319
700	0.1646880089
701	0.1642783208
702	0.1639240774
703	0.1636371557
704	0.1633858352
705	0.1631745177
706	0.1627939401
707	0.1625975269
708	0.1622348566
709	0.1620967969
710	0.16174225
711	0.1613554943
712	0.1609051848
713	0.1608042682
714	0.1606948987
715	0.1604578897
716	0.1602563509
717	0.1599913051
718	0.1598001174
719	0.1594705344
720	0.1592322625
721	0.1588295389
722	0.1585910463
723	0.1584045019
724	0.1581109904
725	0.1579425503
726	0.1576470591
727	0.1574621896
728	0.1570632225
729	0.1568389359
730	0.156489972
731	0.1561537304
732	0.1559673868
733	0.1557928883
734	0.1554315735
735	0.1552229474
736	0.1549982926
737	0.154795875
738	0.1544490365
739	0.1542078823
740	0.1537954811
741	0.1535976021
742	0.1533191676
743	0.153179233
744	0.1529438061
745	0.1528347743
746	0.1525405089
747	0.1521939284
748	0.1519504352
749	0.1517207291
750	0.1514228739
751	0.1511663978
752	0.1510318667
753	0.15077795
754	0.1504150162
755	0.1502966645
756	0.1500284461
757	0.1496583247
758	0.1495570117
759	0.1493709221
760	0.1491828877
761	0.1487549795
762	0.1485273164
763	0.1482079682
764	0.1480113337
765	0.147588277
766	0.1473915498
767	0.1469629982
768	0.1467767797
769	0.1465470435
770	0.1463695739
771	0.1460908122
772	0.1458283671
773	0.1457116376
774	0.1454619998
775	0.1453229115
776	0.1451054536
777	0.1448950867
778	0.1447173247
779	0.1445135532
780	0.1442994644
781	0.1439852684
782	0.1437914458
783	0.1434275442
784	0.1431998566
785	0.1429970759
786	0.1427668839
787	0.1425481704
788	0.1422639259
789	0.1420128778
790	0.1417816233
791	0.1415185947
792	0.1413082593
793	0.1410256519
794	0.1408100718
795	0.1404343325
796	0.1401117843
797	0.1399675835
798	0.1398156052
799	0.1396412606
800	0.1395221831
801	0.1393548079
802	0.139230786
803	0.1390387306
804	0.1388055888
805	0.1385392754
806	0.1383064827
807	0.137999424
808	0.1377410465
809	0.1374377544
810	0.1373008652
811	0.1370667245
812	0.1368890682
813	0.1366918706
814	0.1365395662
815	0.1362854907
816	0.1361201892
817	0.135999033
818	0.1358364336
819	0.1356207224
820	0.1353459141
821	0.1351265608
822	0.1349947397
823	0.1347518666
824	0.1345099159
825	0.1342502225
826	0.1340537615
827	0.1338938302
828	0.1335945437
829	0.1333719879
830	0.1332083126
831	0.1330250919
832	0.1328363208
833	0.1326726703
834	0.1324302659
835	0.1322376417
836	0.1320142363
837	0.1317656178
838	0.1316149546
839	0.1315143407
840	0.1312442212
841	0.131056729
842	0.130854108
843	0.130648937
844	0.1304413882
845	0.1302822582
846	0.1301215664
847	0.1299965262
848	0.1298300929
849	0.1296087364
850	0.1294375247
851	0.1292512161
852	0.1291459491
853	0.1290583561
854	0.128949276
855	0.1287386215
856	0.1284571898
857	0.1282499836
858	0.1279915169
859	0.1278921139
860	0.1277013163
861	0.1276259407
862	0.1275292952
863	0.1272451822
864	0.1270108454
865	0.1268993826
866	0.1268136845
867	0.1266917098
868	0.1264659162
869	0.1263283173
870	0.1260512368
871	0.1258258738
872	0.1256528606
873	0.1255020385
874	0.1253370925
875	0.1251189923
876	0.1250102518
877	0.1248021641
878	0.1246256987
879	0.1243664854
880	0.1242279797
881	0.1240135203
882	0.1239042673
883	0.1237335409
884	0.1235315904
885	0.1232871713
886	0.1231077768
887	0.1229675095
888	0.1227790709
889	0.1227003439
890	0.1225391076
891	0.1223408048
892	0.1221616545
893	0.1219845291
894	0.1218099236
895	0.12169848
896	0.1214909179
897	0.1212371139
898	0.1211467103
899	0.1209891295
900	0.1208385079
901	0.1206421666
902	0.1204402259
903	0.1203607123
904	0.1202142788
905	0.1200261575
906	0.1198753691
907	0.1196909464
908	0.1195653473
909	0.1194299334
910	0.119220382
911	0.1191752414
912	0.1189014804
913	0.1187000711
914	0.1185840143
915	0.1184765476
916	0.118234061
917	0.1180765501
918	0.1179456925
919	0.1177756028
920	0.1177204522
921	0.117592448
922	0.1173502867
923	0.1173145623
924	0.1171651207
925	0.1170386909
926	0.1169498345
927	0.116785559
928	0.1165885533
929	0.1164911402
930	0.1162163001
931	0.1160506834
932	0.1158601086
933	0.1157322408
934	0.115518671
935	0.1153660983
936	0.1152464573
937	0.1149937432
938	0.1148138001
939	0.1146331429
940	0.1144724973
941	0.1144108296
942	0.1142781761
943	0.1141064517
944	0.1139640742
945	0.1137644512
946	0.1136258388
947	0.1135085165
948	0.1133607327
949	0.1131935172
950	0.113055858
951	0.1129203429
952	0.1127799648
953	0.112604815
954	0.1125032463
955	0.1123084591
956	0.1121036624
957	0.1119605726
958	0.1118136394
959	0.111606949
960	0.111492626
961	0.1113470644
962	0.1111821772
963	0.1110303522
964	0.1108028607
965	0.1106006273
966	0.1105169895
967	0.1104223772
968	0.1102815343
969	0.1101953457
970	0.1099747586
971	0.1098762269
972	0.109695198
973	0.1095403583
974	0.1093576884
975	0.1092061863
976	0.1090017902
977	0.1088449837
978	0.1087953701
979	0.108681627
980	0.1084770192
981	0.1084033256
982	0.1082824837
983	0.1081585664
984	0.1079958008
985	0.10787355
986	0.1077061144
987	0.1075342808
988	0.107365548
989	0.1072745222
990	0.1071289109
991	0.1069877747
992	0.1067775086
993	0.1066356995
994	0.1064751173
995	0.1062586677
996	0.1061134292
997	0.1060069636
998	0.1059359288
999	0.1058595836
