name,n_estimators,max_depth,Accuracy,F1
RF_50_5,50,5.0,0.6086956521739131,0.5428492574555813
RF_100_10,100,10.0,0.5760869565217391,0.5397995435678469
RF_200_None,200,,0.5597826086956522,0.5369391752000447
