Model,Accuracy,Precision,Recall,F1,AUC,Fit Time
Logistic Regression,0.5760869565217391,0.5375258799171843,0.5760869565217391,0.5512339769210687,0.7952824817757447,0.02699732780456543
"Random Forest (100, depth=10)",0.5760869565217391,0.5116459627329192,0.5760869565217391,0.5397995435678469,0.8026347935675503,0.41353917121887207
"AdaBoost (100, lr=0.5)",0.5652173913043478,0.4834486166007905,0.5652173913043478,0.5181438127090301,0.7443003034938707,0.3073389530181885
"XGBoost (200, depth=4, lr=0.05, subsample=0.8)",0.592391304347826,0.571086492010405,0.592391304347826,0.5796366531199696,0.7990641679305254,0.7807433605194092
