name,n_estimators,learning_rate,Accuracy,F1,AUC
ADA_50_1.0,50,1.0,0.5489130434782609,0.515688802408334,0.7372988273230918
ADA_100_0.5,100,0.5,0.5652173913043478,0.5181438127090301,0.7443003034938707
ADA_200_2.0,200,2.0,0.5271739130434783,0.5111936380161898,0.656198657902562
